time,camera_x,camera_y,camera_z,lookat_x,lookat_y,lookat_z
148,-449.3970231495835,20,219.1855733945387,-52.264231633827244,0,-497.26094768413657
149,-441.47379642946356,20,234.7357813929452,-26.167978121472277,0,-499.3147673772869
150,-433.0127018922193,20,250.00000000000006,-2.143131898507868e-13,0,-500.0
151,-424.02404807821307,20,264.95963211660234,26.167978121471847,0,-499.3147673772869
152,-414.5187862775208,20,279.59645173537353,52.26423163382681,0,-497.2609476841366
153,-404.5084971874738,20,293.89262614623647,78.21723252011566,0,-493.84417029756884
154,-394.0053768033609,20,307.8307376628293,103.95584540887917,0,-489.0738003669029
155,-383.0222215594891,20,321.3938048432696,129.40952255126004,0,-482.96291314453424
156,-371.57241273869727,20,334.5653031794289,154.5084971874735,0,-475.5282581475769
157,-359.6699001693256,20,347.32918522949865,179.1839747726501,0,-466.79021324860094
158,-347.3291852294988,20,359.66990016932544,203.36832153790016,0,-456.77272882130046
159,-334.56530317942907,20,371.57241273869715,226.9952498697736,0,-445.5032620941838
160,-321.3938048432698,20,383.0222215594889,249.99999999999955,0,-433.0127018922196
161,-307.8307376628291,20,394.00537680336106,272.3195175075132,0,-419.3352839727122
162,-293.8926261462367,20,404.50849718747367,293.8926261462364,0,-404.50849718747384
163,-279.5964517353733,20,414.5187862775209,314.66019552491866,0,-388.5729807284855
164,-264.9596321166025,20,424.0240480782129,334.5653031794292,0,-371.57241273869704
165,-250.00000000000023,20,433.0127018922192,353.5533905932739,0,-353.5533905932736
166,-234.7357813929454,20,441.4737964294635,371.5724127386968,0,-334.5653031794295
167,-219.1855733945389,20,449.3970231495834,388.57298072848516,0,-314.660195524919
168,-203.36832153790007,20,456.77272882130046,404.50849718747355,0,-293.89262614623675
169,-187.30329670795618,20,463.59192728339366,419.335283972712,0,-272.3195175075136
170,-171.0100716628343,20,469.8463103929542,433.01270189221935,0,-249.99999999999994
171,-154.50849718747384,20,475.52825814757676,445.503262094184,0,-226.9952498697732
172,-137.81867790849947,20,480.63084796915945,456.77272882130023,0,-203.36832153790058
173,-120.96094779983393,20,485.14786313799823,466.79021324860076,0,-179.1839747726505
174,-103.95584540887994,20,489.0738003669028,475.5282581475767,0,-154.50849718747395
175,-86.8240888334652,20,492.403876506104,482.9629131445341,0,-129.4095225512605
176,-69.58655048003294,20,495.1340343707851,489.07380036690284,0,-103.95584540887961
177,-52.26423163382671,20,497.2609476841366,493.8441702975689,0,-78.21723252011525
178,-34.878236872062814,20,498.7820251299121,497.26094768413657,0,-52.26423163382727
179,-17.449748351250413,20,499.6954135095479,499.3147673772869,0,-26.16797812147231
180,-1.2246467991473532e-13,20,500.0,500.0,0,-2.4492935982947065e-13
181,17.44974835125061,20,499.6954135095479,499.3147673772869,0,26.16797812147182
182,34.87823687206257,20,498.78202512991214,497.2609476841366,0,52.26423163382678
183,52.26423163382646,20,497.2609476841367,493.84417029756884,0,78.21723252011563
184,69.58655048003268,20,495.1340343707852,489.07380036690296,0,103.95584540887913
185,86.82408883346496,20,492.40387650610404,482.96291314453424,0,129.40952255126
186,103.95584540887968,20,489.0738003669028,475.5282581475769,0,154.50849718747347
187,120.96094779983369,20,485.1478631379983,466.79021324860094,0,179.18397477265006
188,137.81867790849967,20,480.6308479691594,456.77272882130046,0,203.36832153790013
189,154.50849718747358,20,475.5282581475768,445.5032620941838,0,226.99524986977357
